date,new_case_count,new_death_count,new_test_count,new_case_rate,new_death_rate,new_test_rate,case_count,case_rate,death_count,death_rate,test_count,test_rate,cityname,statename,statefips,city_pop2019
2020-01-22,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-01-23,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-01-24,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-01-25,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-01-26,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-01-27,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-01-28,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-01-29,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-01-30,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-01-31,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-01,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-02,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-03,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-04,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-05,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-06,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-07,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-08,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-09,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-10,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-11,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-12,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-13,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-14,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-15,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-16,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-17,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-18,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-19,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-20,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-21,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-22,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-23,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-24,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-25,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-26,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-27,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-28,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-02-29,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,New York City,New York,36,8336817
2020-03-01,0,0,3,0.0,0.0,0.036,0,0.0,0,0.0,3,0.036,New York City,New York,36,8336817
2020-03-02,0,0,2,0.00168,0.0,0.018,0,0.00168,0,0.0,5,0.054,New York City,New York,36,8336817
2020-03-03,0,0,12,0.00168,0.0,0.148,0,0.00336,0,0.0,17,0.202,New York City,New York,36,8336817
2020-03-04,0,0,19,0.00168,0.0,0.222,0,0.00504,0,0.0,35,0.424,New York City,New York,36,8336817
2020-03-05,1,0,32,0.00684,0.0,0.389,1,0.0119,0,0.0,68,0.813,New York City,New York,36,8336817
2020-03-06,1,0,60,0.00852,0.0,0.723,2,0.0204,0,0.0,128,1.54,New York City,New York,36,8336817
2020-03-07,2,0,71,0.0205,0.0,0.846,3,0.0409,0,0.0,199,2.38,New York City,New York,36,8336817
2020-03-08,2,0,86,0.0222,0.0,1.04,5,0.0631,0,0.0,285,3.42,New York City,New York,36,8336817
2020-03-09,3,0,114,0.0326,0.0,1.37,8,0.0957,0,0.0,399,4.78,New York City,New York,36,8336817
2020-03-10,5,0,162,0.0601,0.0,1.94,13,0.156,0,0.0,561,6.72,New York City,New York,36,8336817
2020-03-11,6,0,212,0.072,0.0,2.54,19,0.228,0,0.0,772,9.27,New York City,New York,36,8336817
2020-03-12,13,0,274,0.156,0.0,3.29,32,0.384,0,0.0,1047,12.6,New York City,New York,36,8336817
2020-03-13,16,0,392,0.19,0.0,4.7,48,0.574,0,0.0,1439,17.3,New York City,New York,36,8336817
2020-03-14,24,0,507,0.293,0.00168,6.08,72,0.867,0,0.00168,1946,23.3,New York City,New York,36,8336817
2020-03-15,32,0,596,0.389,0.00168,7.15,105,1.26,0,0.00336,2542,30.5,New York City,New York,36,8336817
2020-03-16,46,0,792,0.555,0.00336,9.51,151,1.81,1,0.00672,3334,40.0,New York City,New York,36,8336817
2020-03-17,111,0,1250,1.33,0.00336,15.0,262,3.14,1,0.0101,4584,55.0,New York City,New York,36,8336817
2020-03-18,281,0,1857,3.37,0.00336,22.3,543,6.51,1,0.0134,6441,77.3,New York City,New York,36,8336817
2020-03-19,551,0,2427,6.61,0.00336,29.1,1094,13.1,1,0.0168,8868,106.0,New York City,New York,36,8336817
2020-03-20,719,0,3216,8.62,0.00336,38.6,1812,21.7,2,0.0202,12084,145.0,New York City,New York,36,8336817
2020-03-21,1132,0,4323,13.6,0.00168,51.9,2945,35.3,2,0.0218,16407,197.0,New York City,New York,36,8336817
2020-03-22,1344,9,5335,16.1,0.106,64.0,4289,51.4,11,0.128,21742,261.0,New York City,New York,36,8336817
2020-03-23,1713,17,6026,20.5,0.199,72.3,6001,72.0,27,0.327,27768,333.0,New York City,New York,36,8336817
2020-03-24,1994,27,6717,23.9,0.319,80.6,7995,95.9,54,0.645,34485,414.0,New York City,New York,36,8336817
2020-03-25,2567,40,7255,30.8,0.476,87.0,10562,127.0,94,1.12,41740,501.0,New York City,New York,36,8336817
2020-03-26,2732,52,8023,32.8,0.622,96.2,13294,159.0,145,1.74,49763,597.0,New York City,New York,36,8336817
2020-03-27,2913,64,8391,34.9,0.768,101.0,16207,194.0,209,2.51,58153,698.0,New York City,New York,36,8336817
2020-03-28,3232,96,8336,38.8,1.15,100.0,19438,233.0,305,3.66,66489,798.0,New York City,New York,36,8336817
2020-03-29,3399,102,8231,40.8,1.22,98.7,22837,274.0,407,4.88,74720,896.0,New York City,New York,36,8336817
2020-03-30,3674,113,8355,44.1,1.36,100.0,26511,318.0,520,6.24,83075,996.0,New York City,New York,36,8336817
2020-03-31,3852,130,8386,46.2,1.55,101.0,30364,364.0,650,7.79,91461,1097.0,New York City,New York,36,8336817
2020-04-01,3671,156,8509,44.0,1.87,102.0,34035,408.0,806,9.67,99970,1199.0,New York City,New York,36,8336817
2020-04-02,3799,171,8611,45.6,2.05,103.0,37834,454.0,977,11.7,108581,1302.0,New York City,New York,36,8336817
2020-04-03,4611,202,8878,55.3,2.43,106.0,42445,509.0,1179,14.1,117459,1409.0,New York City,New York,36,8336817
2020-04-04,4654,226,8948,55.8,2.71,107.0,47099,565.0,1405,16.9,126407,1516.0,New York City,New York,36,8336817
2020-04-05,4873,300,9103,58.5,3.6,109.0,51972,623.0,1705,20.5,135510,1625.0,New York City,New York,36,8336817
2020-04-06,4876,339,9359,58.5,4.07,112.0,56848,682.0,2044,24.5,144869,1738.0,New York City,New York,36,8336817
2020-04-07,5020,400,9609,60.2,4.79,115.0,61868,742.0,2444,29.3,154478,1853.0,New York City,New York,36,8336817
2020-04-08,5162,445,9886,61.9,5.34,119.0,67029,804.0,2890,34.7,164364,1972.0,New York City,New York,36,8336817
2020-04-09,5337,468,10071,64.0,5.62,121.0,72366,868.0,3358,40.3,174435,2092.0,New York City,New York,36,8336817
2020-04-10,4938,542,10482,59.2,6.5,126.0,77304,927.0,3900,46.8,184917,2218.0,New York City,New York,36,8336817
2020-04-11,5000,550,11068,60.0,6.6,133.0,82304,987.0,4450,53.4,195985,2351.0,New York City,New York,36,8336817
2020-04-12,5094,550,11213,61.1,6.59,135.0,87398,1048.0,4999,60.0,207198,2485.0,New York City,New York,36,8336817
