date,new_case_count,new_death_count,new_test_count,vaccine_count,new_vaccine_count,new_case_rate,new_death_rate,new_test_rate,vaccine_rate,new_vaccine_rate,case_count,case_rate,death_count,death_rate,test_count,test_rate,statename,state_pop2019
2020-01-22,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-01-23,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-01-24,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-01-25,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-01-26,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-01-27,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-01-28,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-01-29,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-01-30,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-01-31,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-01,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-02,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-03,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-04,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-05,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-06,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-07,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-08,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-09,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-10,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-11,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-12,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-13,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-14,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-15,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-16,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-17,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-18,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-19,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-20,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-21,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-22,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-23,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-24,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-25,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-26,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-27,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-28,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-02-29,0,0,0,.,.,0,0,0,.,.,0,0,0,0,0,0,New York,19453561
2020-03-01,0,0,4,.,.,0,0,.0206,.,.,0,0,0,0,4,.0206,New York,19453561
2020-03-02,0,0,9,.,.,.00072,0,.0463,.,.,0,.00072,0,0,13,.0668,New York,19453561
2020-03-03,0,0,16,.,.,.00144,0,.0831,.,.,0,.00216,0,0,29,.15,New York,19453561
2020-03-04,2,0,65,.,.,.00807,0,.332,.,.,2,.0102,0,0,94,.482,New York,19453561
2020-03-05,3,0,82,.,.,.0169,0,.423,.,.,5,.0271,0,0,176,.905,New York,19453561
2020-03-06,4,0,128,.,.,.0183,0,.659,.,.,9,.0454,0,0,304,1.56,New York,19453561
2020-03-07,11,0,166,.,.,.0565,0,.853,.,.,20,.102,0,0,470,2.42,New York,19453561
2020-03-08,15,0,214,.,.,.0785,0,1.1,.,.,35,.18,0,0,684,3.52,New York,19453561
2020-03-09,21,0,261,.,.,.106,0,1.34,.,.,56,.286,0,0,944,4.85,New York,19453561
2020-03-10,24,0,359,.,.,.126,0,1.84,.,.,80,.412,0,0,1303,6.7,New York,19453561
2020-03-11,28,0,455,.,.,.144,0,2.34,.,.,108,.556,0,0,1758,9.04,New York,19453561
2020-03-12,43,0,565,.,.,.222,0,2.91,.,.,151,.777,0,0,2323,11.9,New York,19453561
2020-03-13,51,0,758,.,.,.263,0,3.9,.,.,202,1.04,0,0,3081,15.8,New York,19453561
2020-03-14,64,0,1007,.,.,.33,.00144,5.17,.,.,267,1.37,0,.00144,4088,21,New York,19453561
2020-03-15,76,0,1254,.,.,.391,.00144,6.45,.,.,343,1.76,1,.00288,5342,27.5,New York,19453561
2020-03-16,98,1,1806,.,.,.504,.00437,9.29,.,.,441,2.27,1,.00725,7149,36.7,New York,19453561
2020-03-17,196,1,2805,.,.,1.01,.00586,14.4,.,.,637,3.27,3,.0131,9954,51.2,New York,19453561
2020-03-18,406,1,4247,.,.,2.09,.00658,21.8,.,.,1043,5.36,4,.0197,14201,73,New York,19453561
2020-03-19,758,1,5647,.,.,3.9,.00658,29,.,.,1801,9.26,5,.0263,19847,102,New York,19453561
2020-03-20,1065,1,7751,.,.,5.48,.00658,39.8,.,.,2867,14.7,6,.0328,27598,142,New York,19453561
2020-03-21,1658,2,10130,.,.,8.52,.00874,52.1,.,.,4524,23.3,8,.0416,37728,194,New York,19453561
2020-03-22,2159,11,12137,.,.,11.1,.058,62.4,.,.,6684,34.4,19,.0996,49865,256,New York,19453561
2020-03-23,2867,19,13328,.,.,14.7,.0962,68.5,.,.,9551,49.1,38,.196,63194,325,New York,19453561
2020-03-24,3432,31,14579,.,.,17.6,.159,74.9,.,.,12984,66.7,69,.355,77773,400,New York,19453561
2020-03-25,4269,47,15415,.,.,21.9,.244,79.2,.,.,17252,88.7,116,.599,93187,479,New York,19453561
2020-03-26,4758,61,16625,.,.,24.5,.316,85.5,.,.,22010,113,178,.914,109813,564,New York,19453561
2020-03-27,5277,77,17012,.,.,27.1,.394,87.4,.,.,27287,140,254,1.31,126824,652,New York,19453561
2020-03-28,5877,110,16900,.,.,30.2,.568,86.9,.,.,33163,170,365,1.88,143724,739,New York,19453561
2020-03-29,6207,117,16758,.,.,31.9,.601,86.1,.,.,39371,202,482,2.48,160482,825,New York,19453561
2020-03-30,6599,136,17138,.,.,33.9,.698,88.1,.,.,45970,236,618,3.17,177620,913,New York,19453561
2020-03-31,6978,155,17480,.,.,35.9,.797,89.9,.,.,52948,272,773,3.97,195101,1003,New York,19453561
2020-04-01,7024,193,18142,.,.,36.1,.99,93.3,.,.,59971,308,965,4.96,213242,1096,New York,19453561
2020-04-02,7345,216,18583,.,.,37.8,1.11,95.5,.,.,67317,346,1181,6.07,231825,1192,New York,19453561
2020-04-03,8406,261,19209,.,.,43.2,1.34,98.7,.,.,75722,389,1443,7.42,251034,1290,New York,19453561
2020-04-04,8656,317,19496,.,.,44.5,1.63,100,.,.,84378,434,1760,9.05,270530,1391,New York,19453561
2020-04-05,8996,426,19850,.,.,46.2,2.19,102,.,.,93374,480,2186,11.2,290381,1493,New York,19453561
2020-04-06,9104,481,20461,.,.,46.8,2.47,105,.,.,102478,527,2667,13.7,310842,1598,New York,19453561
2020-04-07,9225,561,21316,.,.,47.4,2.89,110,.,.,111703,574,3228,16.6,332158,1707,New York,19453561
2020-04-08,9625,620,22127,.,.,49.5,3.19,114,.,.,121329,624,3848,19.8,354285,1821,New York,19453561
