date,date,city,affinity_spend_all,spend_acf,affinity_spend_tws,affinity_spend_retail_no_grocery
2020-01-01,2020-01-01,New York City,,,,
2020-01-02,2020-01-02,New York City,,,,
2020-01-03,2020-01-03,New York City,,,,
2020-01-04,2020-01-04,New York City,,,,
2020-01-05,2020-01-05,New York City,,,,
2020-01-06,2020-01-06,New York City,,,,
2020-01-07,2020-01-07,New York City,,,,
2020-01-08,2020-01-08,New York City,,,,
2020-01-09,2020-01-09,New York City,,,,
2020-01-10,2020-01-10,New York City,,,,
2020-01-11,2020-01-11,New York City,,,,
2020-01-12,2020-01-12,New York City,,,,
2020-01-13,2020-01-13,New York City,-0.00406,0.00106,-0.0237,-0.00146
2020-01-14,2020-01-14,New York City,-0.00538,0.00441,-0.0839,-0.0198
2020-01-15,2020-01-15,New York City,0.0146,0.0107,-0.0639,-0.0435
2020-01-16,2020-01-16,New York City,0.0233,0.0238,-0.00432,-0.0141
2020-01-17,2020-01-17,New York City,-0.0012,0.0502,0.00374,-0.0288
2020-01-18,2020-01-18,New York City,-0.00863,0.00695,0.0379,-0.0486
2020-01-19,2020-01-19,New York City,0.00911,0.00682,0.057,-0.0209
2020-01-20,2020-01-20,New York City,0.01,0.0527,0.116,0.028
2020-01-21,2020-01-21,New York City,0.0109,0.0144,0.0373,0.00326
2020-01-22,2020-01-22,New York City,0.00237,-0.0115,0.0627,0.000356
2020-01-23,2020-01-23,New York City,-0.0325,-0.0468,-0.00344,-0.0205
2020-01-24,2020-01-24,New York City,8.95e-05,-0.0215,-0.00411,0.000311
2020-01-25,2020-01-25,New York City,0.0234,0.0551,0.0132,0.0159
2020-01-26,2020-01-26,New York City,0.0155,0.0285,0.00807,-0.00498
2020-01-27,2020-01-27,New York City,0.0122,0.0129,-0.0318,0.0143
2020-01-28,2020-01-28,New York City,0.0223,0.00709,0.0441,0.00608
2020-01-29,2020-01-29,New York City,0.0125,0.0365,0.0228,0.0327
2020-01-30,2020-01-30,New York City,0.0376,0.0569,-0.00956,0.0525
2020-01-31,2020-01-31,New York City,0.0381,-0.0137,0.0183,0.0636
2020-02-01,2020-02-01,New York City,0.0124,-0.0758,0.0418,0.0642
2020-02-02,2020-02-02,New York City,-0.0169,-0.0352,-0.0227,0.0245
2020-02-03,2020-02-03,New York City,-0.0234,-0.0278,-0.013,-0.0113
2020-02-04,2020-02-04,New York City,-0.0169,-0.0424,-0.0095,-0.00228
2020-02-05,2020-02-05,New York City,-0.0261,-0.054,-0.0459,-0.0394
2020-02-06,2020-02-06,New York City,-0.0342,-0.0595,-0.0136,-0.0716
2020-02-07,2020-02-07,New York City,-0.0379,-0.045,-0.0387,-0.0792
2020-02-08,2020-02-08,New York City,-0.0263,-0.0544,-0.0752,-0.0586
2020-02-09,2020-02-09,New York City,-0.0143,-0.0742,-0.028,-0.0374
2020-02-10,2020-02-10,New York City,-0.0323,-0.0663,-0.0413,-0.0404
2020-02-11,2020-02-11,New York City,-0.0581,-0.0442,-0.0787,-0.0536
2020-02-12,2020-02-12,New York City,-0.0178,-0.0224,-0.000306,-0.0208
2020-02-13,2020-02-13,New York City,-0.000142,-0.0464,0.0461,0.00437
2020-02-14,2020-02-14,New York City,-0.00897,-0.0963,0.0654,-0.0212
2020-02-15,2020-02-15,New York City,-0.00971,-0.0595,0.0597,-0.0396
2020-02-16,2020-02-16,New York City,-0.00619,-0.0237,0.0437,-0.0239
2020-02-17,2020-02-17,New York City,0.0225,-0.0273,0.0606,-0.00285
2020-02-18,2020-02-18,New York City,0.0109,-0.0415,0.054,-0.00564
2020-02-19,2020-02-19,New York City,0.00247,-0.0908,0.0405,-0.0141
2020-02-20,2020-02-20,New York City,-0.0217,-0.0864,-0.0055,-0.00808
2020-02-21,2020-02-21,New York City,-0.0193,-0.0367,-0.0184,-0.014
2020-02-22,2020-02-22,New York City,-0.0103,-0.014,0.0135,-0.0184
2020-02-23,2020-02-23,New York City,-0.00717,-0.0418,0.0192,-0.0183
2020-02-24,2020-02-24,New York City,-0.0108,-0.0368,-0.0434,0.00027
2020-02-25,2020-02-25,New York City,-0.0121,-0.0517,-0.0407,0.016
2020-02-26,2020-02-26,New York City,-0.0272,-0.0372,-0.0535,0.0168
2020-02-27,2020-02-27,New York City,-0.0226,-0.075,-0.0392,0.00515
2020-02-28,2020-02-28,New York City,-0.0277,-0.0944,-0.051,0.0216
2020-02-29,2020-02-29,New York City,-0.00869,-0.067,-0.0463,0.046
2020-03-01,2020-03-01,New York City,-0.0514,-0.0456,-0.121,0.0305
2020-03-02,2020-03-02,New York City,-0.0328,-0.0823,-0.11,0.00429
2020-03-03,2020-03-03,New York City,-0.0126,-0.0938,-0.0849,0.0159
2020-03-04,2020-03-04,New York City,-0.0138,-0.0719,-0.103,0.0377
2020-03-05,2020-03-05,New York City,-0.00101,-0.0262,-0.129,0.0311
2020-03-06,2020-03-06,New York City,-0.00225,-0.0144,-0.161,0.00631
2020-03-07,2020-03-07,New York City,-0.00322,-0.0716,-0.167,0.00359
2020-03-08,2020-03-08,New York City,0.0242,-0.0758,-0.122,0.00819
2020-03-09,2020-03-09,New York City,-0.00172,-0.0874,-0.183,0.0398
2020-03-10,2020-03-10,New York City,-0.0258,-0.0759,-0.236,0.00558
2020-03-11,2020-03-11,New York City,-0.0249,-0.0665,-0.213,-0.0344
2020-03-12,2020-03-12,New York City,-0.0129,-0.135,-0.192,-0.0514
2020-03-13,2020-03-13,New York City,-0.0177,-0.176,-0.23,-0.0472
2020-03-14,2020-03-14,New York City,-0.0273,-0.183,-0.285,-0.0692
2020-03-15,2020-03-15,New York City,-0.0487,-0.241,-0.314,-0.0467
2020-03-16,2020-03-16,New York City,-0.0631,-0.298,-0.324,-0.0544
2020-03-17,2020-03-17,New York City,-0.0839,-0.35,-0.377,-0.0833
2020-03-18,2020-03-18,New York City,-0.132,-0.416,-0.445,-0.124
2020-03-19,2020-03-19,New York City,-0.179,-0.474,-0.558,-0.126
2020-03-20,2020-03-20,New York City,-0.198,-0.514,-0.606,-0.126
2020-03-21,2020-03-21,New York City,-0.225,-0.591,-0.61,-0.126
2020-03-22,2020-03-22,New York City,-0.248,-0.649,-0.62,-0.186
2020-03-23,2020-03-23,New York City,-0.274,-0.641,-0.636,-0.214
2020-03-24,2020-03-24,New York City,-0.318,-0.667,-0.686,-0.267
2020-03-25,2020-03-25,New York City,-0.315,-0.686,-0.74,-0.253
2020-03-26,2020-03-26,New York City,-0.324,-0.671,-0.744,-0.27
2020-03-27,2020-03-27,New York City,-0.372,-0.74,-0.714,-0.317
2020-03-28,2020-03-28,New York City,-0.413,-0.755,-0.686,-0.353
2020-03-29,2020-03-29,New York City,-0.432,-0.755,-0.758,-0.379
2020-03-30,2020-03-30,New York City,-0.394,-0.771,-0.788,-0.34
2020-03-31,2020-03-31,New York City,-0.371,-0.766,-0.745,-0.33
2020-04-01,2020-04-01,New York City,-0.388,-0.752,-0.762,-0.351
2020-04-02,2020-04-02,New York City,-0.389,-0.725,-0.563,-0.348
2020-04-03,2020-04-03,New York City,-0.38,-0.714,-0.631,-0.351
2020-04-04,2020-04-04,New York City,-0.39,-0.739,-0.767,-0.379
2020-04-05,2020-04-05,New York City,-0.402,-0.769,-0.768,-0.385
2020-04-06,2020-04-06,New York City,-0.402,-0.787,-0.74,-0.367
2020-04-07,2020-04-07,New York City,-0.406,-0.758,-0.718,-0.363
2020-04-08,2020-04-08,New York City,-0.393,-0.684,-0.787,-0.349
2020-04-09,2020-04-09,New York City,-0.416,-0.745,-0.786,-0.371
2020-04-10,2020-04-10,New York City,-0.433,-0.762,-0.899,-0.383
2020-04-11,2020-04-11,New York City,-0.419,-0.749,-0.861,-0.375
2020-04-12,2020-04-12,New York City,-0.426,-0.73,-0.8,-0.37
2020-04-13,2020-04-13,New York City,-0.437,-0.718,-0.795,-0.37
2020-04-14,2020-04-14,New York City,-0.388,-0.785,-0.823,-0.327
2020-04-15,2020-04-15,New York City,-0.373,-0.771,-0.862,-0.325
2020-04-16,2020-04-16,New York City,-0.366,-0.739,-0.826,-0.301
2020-04-17,2020-04-17,New York City,-0.362,-0.775,-0.757,-0.285
2020-04-18,2020-04-18,New York City,-0.355,-0.752,-0.806,-0.264
2020-04-19,2020-04-19,New York City,-0.349,-0.719,-0.789,-0.266
2020-04-20,2020-04-20,New York City,-0.321,-0.689,-0.751,-0.259
2020-04-21,2020-04-21,New York City,-0.323,-0.695,-0.763,-0.243
2020-04-22,2020-04-22,New York City,-0.33,-0.735,-0.708,-0.217
2020-04-23,2020-04-23,New York City,-0.352,-0.775,-0.768,-0.263
2020-04-24,2020-04-24,New York City,-0.403,-0.772,-0.796,-0.299
2020-04-25,2020-04-25,New York City,-0.383,-0.747,-0.792,-0.291
2020-04-26,2020-04-26,New York City,-0.355,-0.723,-0.798,-0.26
2020-04-27,2020-04-27,New York City,-0.361,-0.702,-0.79,-0.235
2020-04-28,2020-04-28,New York City,-0.368,-0.731,-0.837,-0.241
2020-04-29,2020-04-29,New York City,-0.369,-0.737,-0.834,-0.239
2020-04-30,2020-04-30,New York City,-0.306,-0.67,-0.797,-0.199
2020-05-01,2020-05-01,New York City,-0.272,-0.627,-0.757,-0.159
2020-05-02,2020-05-02,New York City,-0.278,-0.63,-0.707,-0.147
2020-05-03,2020-05-03,New York City,-0.269,-0.661,-0.74,-0.153
2020-05-04,2020-05-04,New York City,-0.256,-0.721,-0.74,-0.175
2020-05-05,2020-05-05,New York City,-0.281,-0.71,-0.692,-0.198
2020-05-06,2020-05-06,New York City,-0.286,-0.676,-0.716,-0.22
2020-05-07,2020-05-07,New York City,-0.278,-0.692,-0.717,-0.202
2020-05-08,2020-05-08,New York City,-0.273,-0.686,-0.798,-0.181
2020-05-09,2020-05-09,New York City,-0.271,-0.697,-0.759,-0.185
2020-05-10,2020-05-10,New York City,-0.283,-0.665,-0.736,-0.182
2020-05-11,2020-05-11,New York City,-0.304,-0.621,-0.801,-0.188
2020-05-12,2020-05-12,New York City,-0.285,-0.628,-0.734,-0.155
2020-05-13,2020-05-13,New York City,-0.248,-0.641,-0.718,-0.0955
2020-05-14,2020-05-14,New York City,-0.243,-0.618,-0.69,-0.0992
2020-05-15,2020-05-15,New York City,-0.254,-0.622,-0.702,-0.115
2020-05-16,2020-05-16,New York City,-0.262,-0.634,-0.689,-0.112
2020-05-17,2020-05-17,New York City,-0.262,-0.656,-0.694,-0.098
2020-05-18,2020-05-18,New York City,-0.239,-0.662,-0.652,-0.0686
2020-05-19,2020-05-19,New York City,-0.255,-0.639,-0.715,-0.111
2020-05-20,2020-05-20,New York City,-0.287,-0.627,-0.695,-0.173
2020-05-21,2020-05-21,New York City,-0.28,-0.62,-0.696,-0.168
2020-05-22,2020-05-22,New York City,-0.271,-0.602,-0.682,-0.158
2020-05-23,2020-05-23,New York City,-0.266,-0.597,-0.711,-0.167
2020-05-24,2020-05-24,New York City,-0.269,-0.609,-0.697,-0.184
2020-05-25,2020-05-25,New York City,-0.267,-0.607,-0.709,-0.172
