,freq,affinity_spend_all,county,state,county_pop2019,date
867,d,,Bronx,NY,1418207.0,2020-01-01
868,d,,Cattaraugus,NY,76117.0,2020-01-01
869,d,,Chautauqua,NY,126903.0,2020-01-01
870,d,,Chemung,NY,83456.0,2020-01-01
871,d,,Clinton,NY,80485.0,2020-01-01
872,d,,Columbia,NY,59461.0,2020-01-01
873,d,,Cortland,NY,47581.0,2020-01-01
874,d,,Dutchess,NY,294218.0,2020-01-01
875,d,,Erie,NY,918702.0,2020-01-01
876,d,,Essex,NY,36885.0,2020-01-01
877,d,,Franklin,NY,50022.0,2020-01-01
878,d,,Fulton,NY,53383.0,2020-01-01
879,d,,Genesee,NY,57280.0,2020-01-01
880,d,,Greene,NY,47188.0,2020-01-01
881,d,,Herkimer,NY,61319.0,2020-01-01
882,d,,Jefferson,NY,109834.0,2020-01-01
883,d,,Livingston,NY,62914.0,2020-01-01
884,d,,Madison,NY,70941.0,2020-01-01
885,d,,Monroe,NY,741770.0,2020-01-01
886,d,,Nassau,NY,1356924.0,2020-01-01
887,d,,New York,NY,1628706.0,2020-01-01
888,d,,Niagara,NY,209281.0,2020-01-01
889,d,,Oneida,NY,228671.0,2020-01-01
890,d,,Onondaga,NY,460528.0,2020-01-01
891,d,,Ontario,NY,109777.0,2020-01-01
892,d,,Orange,NY,384940.0,2020-01-01
893,d,,Orleans,NY,40352.0,2020-01-01
894,d,,Oswego,NY,117124.0,2020-01-01
895,d,,Otsego,NY,59493.0,2020-01-01
896,d,,Putnam,NY,98320.0,2020-01-01
897,d,,Queens,NY,2253858.0,2020-01-01
898,d,,Richmond,NY,476143.0,2020-01-01
899,d,,Rockland,NY,325789.0,2020-01-01
900,d,,St Lawrence,NY,107740.0,2020-01-01
901,d,,Saratoga,NY,229863.0,2020-01-01
902,d,,Schenectady,NY,155299.0,2020-01-01
903,d,,Schoharie,NY,30999.0,2020-01-01
904,d,,Seneca,NY,34016.0,2020-01-01
905,d,,Steuben,NY,95379.0,2020-01-01
906,d,,Suffolk,NY,1476601.0,2020-01-01
907,d,,Sullivan,NY,75432.0,2020-01-01
908,d,,Tioga,NY,48203.0,2020-01-01
909,d,,Ulster,NY,177573.0,2020-01-01
910,d,,Warren,NY,63944.0,2020-01-01
911,d,,Washington,NY,61204.0,2020-01-01
912,d,,Wayne,NY,89918.0,2020-01-01
913,d,,Westchester,NY,967506.0,2020-01-01
914,d,,Yates,NY,24913.0,2020-01-01
2460,d,,Bronx,NY,1418207.0,2020-01-02
2461,d,,Cattaraugus,NY,76117.0,2020-01-02
2462,d,,Chautauqua,NY,126903.0,2020-01-02
2463,d,,Chemung,NY,83456.0,2020-01-02
2464,d,,Clinton,NY,80485.0,2020-01-02
2465,d,,Columbia,NY,59461.0,2020-01-02
2466,d,,Cortland,NY,47581.0,2020-01-02
2467,d,,Dutchess,NY,294218.0,2020-01-02
2468,d,,Erie,NY,918702.0,2020-01-02
2469,d,,Essex,NY,36885.0,2020-01-02
2470,d,,Franklin,NY,50022.0,2020-01-02
2471,d,,Fulton,NY,53383.0,2020-01-02
2472,d,,Genesee,NY,57280.0,2020-01-02
2473,d,,Greene,NY,47188.0,2020-01-02
2474,d,,Herkimer,NY,61319.0,2020-01-02
2475,d,,Jefferson,NY,109834.0,2020-01-02
2476,d,,Livingston,NY,62914.0,2020-01-02
2477,d,,Madison,NY,70941.0,2020-01-02
2478,d,,Monroe,NY,741770.0,2020-01-02
2479,d,,Nassau,NY,1356924.0,2020-01-02
2480,d,,New York,NY,1628706.0,2020-01-02
2481,d,,Niagara,NY,209281.0,2020-01-02
2482,d,,Oneida,NY,228671.0,2020-01-02
2483,d,,Onondaga,NY,460528.0,2020-01-02
2484,d,,Ontario,NY,109777.0,2020-01-02
2485,d,,Orange,NY,384940.0,2020-01-02
2486,d,,Orleans,NY,40352.0,2020-01-02
2487,d,,Oswego,NY,117124.0,2020-01-02
2488,d,,Otsego,NY,59493.0,2020-01-02
2489,d,,Putnam,NY,98320.0,2020-01-02
2490,d,,Queens,NY,2253858.0,2020-01-02
2491,d,,Richmond,NY,476143.0,2020-01-02
2492,d,,Rockland,NY,325789.0,2020-01-02
2493,d,,St Lawrence,NY,107740.0,2020-01-02
2494,d,,Saratoga,NY,229863.0,2020-01-02
2495,d,,Schenectady,NY,155299.0,2020-01-02
2496,d,,Schoharie,NY,30999.0,2020-01-02
2497,d,,Seneca,NY,34016.0,2020-01-02
2498,d,,Steuben,NY,95379.0,2020-01-02
2499,d,,Suffolk,NY,1476601.0,2020-01-02
2500,d,,Sullivan,NY,75432.0,2020-01-02
2501,d,,Tioga,NY,48203.0,2020-01-02
2502,d,,Ulster,NY,177573.0,2020-01-02
2503,d,,Warren,NY,63944.0,2020-01-02
2504,d,,Washington,NY,61204.0,2020-01-02
2505,d,,Wayne,NY,89918.0,2020-01-02
2506,d,,Westchester,NY,967506.0,2020-01-02
2507,d,,Yates,NY,24913.0,2020-01-02
4053,d,,Bronx,NY,1418207.0,2020-01-03
4054,d,,Cattaraugus,NY,76117.0,2020-01-03
4055,d,,Chautauqua,NY,126903.0,2020-01-03
4056,d,,Chemung,NY,83456.0,2020-01-03
4057,d,,Clinton,NY,80485.0,2020-01-03
4058,d,,Columbia,NY,59461.0,2020-01-03
4059,d,,Cortland,NY,47581.0,2020-01-03
4060,d,,Dutchess,NY,294218.0,2020-01-03
4061,d,,Erie,NY,918702.0,2020-01-03
4062,d,,Essex,NY,36885.0,2020-01-03
4063,d,,Franklin,NY,50022.0,2020-01-03
4064,d,,Fulton,NY,53383.0,2020-01-03
4065,d,,Genesee,NY,57280.0,2020-01-03
4066,d,,Greene,NY,47188.0,2020-01-03
4067,d,,Herkimer,NY,61319.0,2020-01-03
4068,d,,Jefferson,NY,109834.0,2020-01-03
4069,d,,Livingston,NY,62914.0,2020-01-03
4070,d,,Madison,NY,70941.0,2020-01-03
4071,d,,Monroe,NY,741770.0,2020-01-03
4072,d,,Nassau,NY,1356924.0,2020-01-03
4073,d,,New York,NY,1628706.0,2020-01-03
4074,d,,Niagara,NY,209281.0,2020-01-03
4075,d,,Oneida,NY,228671.0,2020-01-03
4076,d,,Onondaga,NY,460528.0,2020-01-03
4077,d,,Ontario,NY,109777.0,2020-01-03
4078,d,,Orange,NY,384940.0,2020-01-03
4079,d,,Orleans,NY,40352.0,2020-01-03
4080,d,,Oswego,NY,117124.0,2020-01-03
4081,d,,Otsego,NY,59493.0,2020-01-03
4082,d,,Putnam,NY,98320.0,2020-01-03
4083,d,,Queens,NY,2253858.0,2020-01-03
4084,d,,Richmond,NY,476143.0,2020-01-03
4085,d,,Rockland,NY,325789.0,2020-01-03
4086,d,,St Lawrence,NY,107740.0,2020-01-03
4087,d,,Saratoga,NY,229863.0,2020-01-03
4088,d,,Schenectady,NY,155299.0,2020-01-03
