3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,377,72,,B9,231 EAST 7TH,,10009,2,0,2,1718,5154,1901,1,B9,0,2020-10-02 00:00:00
5,1,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,377,66,,C0,243 EAST 7TH STREET,,10009,3,0,3,2381,3084,1899,1,C0,0,2020-10-31 00:00:00
6,1,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,377,66,,C0,243 EAST 7TH STREET,,10009,3,0,3,2381,3084,1899,1,C0,4350000,2020-07-16 00:00:00
7,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,372,10,,C7,274 EAST 3RD,,10009,9,1,10,2021,6445,1900,2,C7,0,2020-12-27 00:00:00
8,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,374,1,,C7,301-303 EAST 4TH STREET,,10009,8,2,10,1501,6929,1900,2,C7,3672530,2020-11-24 00:00:00
9,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,28,,C4,272 EAST 7TH STREET,,10009,24,0,24,2764,13206,1900,2,C4,1,2020-06-26 00:00:00
10,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 6C",,10009,19,0,19,2772,13248,1920,2,C4,2500,2020-02-11 00:00:00
11,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 5C",,10009,19,0,19,2772,13248,1920,2,C4,2500,2020-02-11 00:00:00
12,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 2C/D",,10009,19,0,19,2772,13248,1920,2,C4,2500,2020-02-11 00:00:00
13,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 3A",,10009,19,0,19,2772,13248,1920,2,C4,2500,2020-02-11 00:00:00
14,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 3B",,10009,19,0,19,2772,13248,1920,2,C4,2500,2020-02-11 00:00:00
15,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 4A",,10009,19,0,19,2772,13248,1920,2,C4,2500,2020-02-11 00:00:00
