zillow_id,price,date,event_description,event_price,change,other_change,other_other_change,Unnamed: 8,Unnamed: 9
89711731,795000.0,1/14/2021,Price change,"$795,000 (-1.9%)",(-1.9%),,,,
89711731,795000.0,7/9/2020,Price change,"$810,000 (-1.8%)",(-1.8%),,,,
89711731,795000.0,11/24/2019,Price change,"$825,000 (-2.9%)",(-2.9%),,,,
89711731,795000.0,6/21/2019,Price change,"$850,000 (-2.9%)",(-2.9%),,,,
89711731,795000.0,4/20/2019,Listed for sale,"$875,000 (+40%)",(+40%),,,,
89711731,795000.0,1/23/2010,Sold,"$625,000",,,,,
2088856144,225000.0,6/28/2018,Sold,"$225,000",$300/sqft,,,,
2085499893,750000.0,10/30/2018,Sold,"$750,000",$375/sqft,,,,
32347200,619900.0,4/14/2021,Listed for sale,"$619,900",$443/sqft,,,,
2076736254,1299888.0,2/19/2021,Price change,"$1,299,888 (-7.1%)",(-7.1%),"$1,189/sqft",,,
2076736254,1299888.0,1/8/2021,Price change,"$1,399,040 (0%)",(0%),"$1,280/sqft",,,
2076736254,1299888.0,1/1/2021,Listed for sale,"$1,399,088","$1,280/sqft",,,,
32015900,725000.0,2/25/2019,Sold,"$725,000 (-2%)",(-2%),$559/sqft,,,
32015900,725000.0,11/30/2018,Listing removed,"$739,900",$571/sqft,,,,
32015900,725000.0,9/10/2018,Listed for sale,"$739,900 (+59.1%)",(+59.1%),$571/sqft,,,
32015900,725000.0,1/6/2009,Sold,"$465,000 (+239.4%)",(+239.4%),$359/sqft,,,
32015900,725000.0,1/15/1997,Sold,"$137,000",$106/sqft,,,,
2071758202,1550000.0,4/20/2021,Pending sale,"$1,550,000","$2,095/sqft",,,,
2071758202,1550000.0,4/12/2021,Listed for sale,"$1,550,000","$2,095/sqft",,,,
115877048,999000.0,1/14/2021,Price change,"$999,000 (-8.3%)",(-8.3%),$576/sqft,,,
115877048,999000.0,9/11/2020,Price change,"$1,090,000 (-8.4%)",(-8.4%),$629/sqft,,,
115877048,999000.0,6/22/2020,Listed for sale,"$1,190,000 (+79.8%)",(+79.8%),$686/sqft,,,
115877048,999000.0,6/4/2020,Price change,"$5,500 (-8.3%)",(-8.3%),,,,
115877048,999000.0,6/6/2012,Sold,"$661,862",$382/sqft,,,,
31523625,10750000.0,3/22/2021,Listed for sale,"$10,750,000 (+22.9%)",(+22.9%),"$1,514/sqft",,,
31523625,10750000.0,4/2/2020,Listing removed,"$8,750,000","$1,232/sqft",,,,
31523625,10750000.0,9/23/2019,Listed for sale,"$8,750,000 (+29.6%)",(+29.6%),"$1,232/sqft",,,
31523625,10750000.0,8/3/2017,Sold,"$6,750,000 (-3.5%)",(-3.5%),$951/sqft,,,
31523625,10750000.0,5/22/2017,Listing removed,"$6,995,000",$985/sqft,,,,
31523625,10750000.0,4/19/2017,Price change,"$6,995,000 (-10.9%)",(-10.9%),$985/sqft,,,
31523625,10750000.0,2/13/2017,Listed for sale,"$7,850,000 (-11.3%)",(-11.3%),"$1,106/sqft",,,
32346399,830000.0,12/15/2018,Sold,"$830,000 (-4%)",(-4%),$326/sqft,,,
32346399,830000.0,12/1/2018,Listing removed,"$865,000",$339/sqft,,,,
32346399,830000.0,9/24/2018,Pending sale,"$865,000",$339/sqft,,,,
32346399,830000.0,9/21/2018,Price change,"$865,000 (+1.3%)",(+1.3%),$339/sqft,,,
32346399,830000.0,8/28/2018,Price change,"$854,000 (-1.3%)",(-1.3%),$335/sqft,,,
32346399,830000.0,7/23/2018,Price change,"$865,000 (-1%)",(-1%),$339/sqft,,,
32346399,830000.0,6/29/2018,Price change,"$874,000 (-0.7%)",(-0.7%),$343/sqft,,,
30641451,764000.0,6/20/2019,Sold,"$764,000 (+2%)",(+2%),$332/sqft,,,
30641451,764000.0,4/1/2019,Listed for sale,"$749,000",$326/sqft,,,,
30641451,764000.0,2/7/2019,Pending sale,"$749,000",$326/sqft,,,,
30641451,764000.0,12/28/2018,Listed for sale,"$749,000",$326/sqft,,,,
324252957,256542.0,7/22/2020,Sold,"$256,542",,,,,
2078362444,1150000.0,4/23/2021,Pending sale,"$1,150,000","$1,391/sqft",,,,
2078362444,1150000.0,3/25/2021,Listed for sale,"$1,150,000 (-4.2%)",(-4.2%),"$1,391/sqft",,,
2078362444,1150000.0,12/4/2020,Listing removed,"$1,200,000","$1,451/sqft",,,,
2078362444,1150000.0,8/5/2020,Listed for sale,"$1,200,000","$1,451/sqft",,,,
2091447495,800000.0,3/18/2019,Sold,"$800,000",$352/sqft,,,,
2091447495,800000.0,2/1/2018,Listing removed,"$800,000",$352/sqft,,,,
2091447495,800000.0,1/19/2018,Listed for sale,"$800,000",$352/sqft,,,,
72651898,203000.0,8/1/2018,Sold,"$203,000 (-5.5%)",(-5.5%),$406/sqft,,,
72651898,203000.0,6/8/2018,Listing removed,"$214,900",$430/sqft,,,,
72651898,203000.0,5/2/2018,Listed for sale,"$214,900",$430/sqft,,,,
72651898,203000.0,2/4/2018,Listing removed,"$214,900",$430/sqft,,,,
72651898,203000.0,1/22/2018,Pending sale,"$214,900",$430/sqft,,,,
72651898,203000.0,9/5/2017,Price change,"$214,900 (-4.4%)",(-4.4%),$430/sqft,,,
72651898,203000.0,8/4/2017,Listed for sale,"$224,900 (+47%)",(+47%),$450/sqft,,,
300075196,3150000.0,3/5/2020,Sold,"$3,150,000 (+320%)",(+320%),$733/sqft,,,
300075196,3150000.0,3/11/2013,Sold,"$750,000",$175/sqft,,,,
145603065,699000.0,1/24/2020,Sold,"$699,000",$466/sqft,,,,
316675199,422500.0,7/30/2020,Sold,"$422,500 (+60.6%)",(+60.6%),$306/sqft,,,
316675199,422500.0,9/2/2011,Sold,"$263,000 (+14.3%)",(+14.3%),$191/sqft,,,
316675199,422500.0,4/20/2004,Sold,"$230,000",$167/sqft,,,,
244736449,450000.0,4/19/2019,Sold,"$450,000",$16/sqft,,,,
2072566977,945000.0,3/15/2021,Listed for sale,"$945,000","$1,068/sqft",,,,
2092219110,4995000.0,9/19/2019,Price change,"$4,995,000 (-2.1%)",(-2.1%),"$1,915/sqft",,,
2092219110,4995000.0,6/6/2019,Price change,"$5,100,000 (-5.6%)",(-5.6%),"$1,955/sqft",,,
2092219110,4995000.0,9/24/2018,Price change,"$5,400,000 (-0.9%)",(-0.9%),"$2,070/sqft",,,
2092219110,4995000.0,7/23/2018,Price change,"$5,450,000 (-8.4%)",(-8.4%),"$2,089/sqft",,,
2092219110,4995000.0,10/31/2017,Listed for sale,"$5,950,000","$2,281/sqft",,,,
306097884,240000.0,1/29/2020,Sold,"$240,000",,,,,
31952009,561750.0,9/18/2019,Sold,"$561,750 (-45.5%)",(-45.5%),$369/sqft,,,
31952009,561750.0,2/4/2019,Sold,"$1,031,285 (+47.3%)",(+47.3%),$678/sqft,,,
31952009,561750.0,9/26/2006,Sold,"$700,000 (+16.9%)",(+16.9%),$460/sqft,,,
31952009,561750.0,1/25/2006,Sold,"$599,000 (+26.1%)",(+26.1%),$394/sqft,,,
31952009,561750.0,10/19/2004,Sold,"$475,000",$312/sqft,,,,
31507460,1895000.0,3/20/2021,Price change,"$1,895,000 (-4.1%)",(-4.1%),"$1,404/sqft",,,
31507460,1895000.0,2/2/2021,Listed for sale,"$1,975,000 (-8.1%)",(-8.1%),"$1,463/sqft",,,
31507460,1895000.0,12/15/2019,Listing removed,"$2,150,000","$1,593/sqft",,,,
31507460,1895000.0,12/15/2019,Pending sale,"$2,150,000","$1,593/sqft",,,,
31507460,1895000.0,9/6/2019,Listed for sale,"$2,150,000","$1,593/sqft",,,,
31507460,1895000.0,1/8/2019,Listing removed,"$7,300",,,,,
30781376,799000.0,4/21/2021,Sold,"$715,000 (-10.5%)",(-10.5%),$745/sqft,,,
30781376,799000.0,1/18/2021,Listed for sale,"$799,000",$832/sqft,,,,
119908026,995000.0,8/29/2019,Sold,"$995,000",,,,,
119908026,995000.0,8/20/2019,Listing removed,"$995,000",,,,,
119908026,995000.0,6/12/2019,Pending sale,"$995,000",,,,,
119908026,995000.0,5/8/2019,Price change,"$995,000 (-5.2%)",(-5.2%),,,,
119908026,995000.0,4/28/2019,Price change,"$1,050,000 (-8.7%)",(-8.7%),,,,
119908026,995000.0,3/25/2019,Listed for sale,"$1,150,000 (+28.5%)",(+28.5%),,,,
119908026,995000.0,11/12/2013,Sold,"$895,000",,,,,
2076492324,190000.0,2/1/2021,Price change,"$190,000 (-4.5%)",(-4.5%),$224/sqft,,,
2076492324,190000.0,1/13/2021,Listed for sale,"$199,000",$234/sqft,,,,
80008404,1700000.0,7/26/2019,Sold,"$1,700,000 (+41.7%)",(+41.7%),"$1,459/sqft",,,
80008404,1700000.0,1/5/2016,Listing removed,"$5,449",,,,,
80008404,1700000.0,12/12/2015,Price change,"$5,449 (-0.8%)",(-0.8%),,,,
80008404,1700000.0,11/21/2015,Price change,"$5,495 (-1.8%)",(-1.8%),,,,
80008404,1700000.0,11/1/2015,Price change,"$5,595 (-6%)",(-6%),,,,
80008404,1700000.0,6/9/2015,Listing removed,"$5,950",,,,,
2077761652,799000.0,9/22/2020,Listed for sale,"$799,000","$1,158/sqft",,,,
300074908,1650000.0,11/13/2019,Sold,"$1,650,000",$825/sqft,,,,
32331480,245000.0,4/21/2021,Listing removed,"$245,000",$414/sqft,,,,
32331480,245000.0,4/5/2021,Listed for sale,"$245,000 (-29.6%)",(-29.6%),$414/sqft,,,
32331480,245000.0,3/9/2017,Sold,"$348,000 (+78.5%)",(+78.5%),$588/sqft,,,
32331480,245000.0,6/9/2010,Sold,"$195,000 (+69.6%)",(+69.6%),$329/sqft,,,
32331480,245000.0,8/23/2001,Sold,"$115,000",$194/sqft,,,,
30629381,800000.0,3/26/2020,Sold,"$800,000 (+52.3%)",(+52.3%),$267/sqft,,,
30629381,800000.0,5/10/2014,Listing removed,"$2,100",,,,,
30629381,800000.0,10/24/2012,Sold,"$525,300 (-4.5%)",(-4.5%),$175/sqft,,,
30629381,800000.0,8/9/2012,Listed for sale,"$549,999 (+12.5%)",(+12.5%),$183/sqft,,,
30629381,800000.0,2/9/2012,Price change,"$489,000 (-2%)",(-2%),$163/sqft,,,
30629381,800000.0,1/24/2012,Listed for sale,"$499,000 (+107.9%)",(+107.9%),$166/sqft,,,
32032549,1439000.0,11/2/2020,Sold,"$1,439,000 (-4%)",(-4%),,,,
32032549,1439000.0,9/1/2020,Pending sale,"$1,499,000",,,,,
32032549,1439000.0,2/5/2020,Price change,"$1,499,000 (-5.6%)",(-5.6%),,,,
32032549,1439000.0,12/12/2019,Listed for sale,"$1,588,000",,,,,
30660163,259000.0,3/25/2021,Sold,"$259,000 (-0.4%)",(-0.4%),$2/sqft,,,
30660163,259000.0,2/3/2021,Sold,"$260,000 (-1.5%)",(-1.5%),$2/sqft,,,
30660163,259000.0,10/20/2020,Sold,"$264,000 (-0.4%)",(-0.4%),$2/sqft,,,
30660163,259000.0,8/4/2020,Sold,"$265,000 (+0.4%)",(+0.4%),$2/sqft,,,
30660163,259000.0,3/25/2020,Sold,"$264,000 (+1.5%)",(+1.5%),$2/sqft,,,
30660163,259000.0,12/9/2019,Sold,"$260,000 (-28.8%)",(-28.8%),$2/sqft,,,
30660163,259000.0,9/16/2019,Sold,"$365,000 (+5.8%)",(+5.8%),$3/sqft,,,
30788830,1125000.0,7/19/2018,Sold,"$1,125,000 (-6.2%)",(-6.2%),$445/sqft,,,
30788830,1125000.0,3/20/2018,Listing removed,"$1,199,000",$474/sqft,,,,
30788830,1125000.0,11/20/2017,Listed for sale,"$1,199,000 (-4%)",(-4%),$474/sqft,,,
30788830,1125000.0,4/2/2017,Listing removed,"$1,249,000",$494/sqft,,,,
30788830,1125000.0,6/8/2016,Listed for sale,"$1,249,000",$494/sqft,,,,
30768013,500000.0,1/28/2021,Sold,"$500,000 (-8.9%)",(-8.9%),$488/sqft,,,
30768013,500000.0,1/7/2021,Listing removed,"$549,000",$536/sqft,,,,
30768013,500000.0,8/13/2020,Pending sale,"$549,000",$536/sqft,,,,
30768013,500000.0,3/4/2020,Price change,"$549,000 (-1.8%)",(-1.8%),$536/sqft,,,
30768013,500000.0,8/26/2019,Listed for sale,"$559,000 (+107%)",(+107%),$545/sqft,,,
30768013,500000.0,11/27/2015,Sold,"$270,000 (-9.7%)",(-9.7%),$263/sqft,,,
30768013,500000.0,10/23/2015,Listing removed,"$299,000",$292/sqft,,,,
325791932,210000.0,10/27/2020,Sold,"$210,000",,,,,
32184327,490000.0,8/18/2020,Sold,"$490,000 (+81.5%)",(+81.5%),$500/sqft,,,
32184327,490000.0,7/29/2016,Sold,"$270,000 (+20%)",(+20%),$276/sqft,,,
32184327,490000.0,8/21/2013,Listing removed,"$225,000",$230/sqft,,,,
32184327,490000.0,2/21/2013,Listed for sale,"$225,000 (-42.2%)",(-42.2%),$230/sqft,,,
32184327,490000.0,8/25/2009,Sold,"$389,000 (+94.5%)",(+94.5%),$397/sqft,,,
32184327,490000.0,5/8/2009,Sold,"$200,000 (+161.4%)",(+161.4%),$204/sqft,,,
32184327,490000.0,8/27/1996,Sold,"$76,500",$78/sqft,,,,
89068796,1298000.0,3/24/2021,Price change,"$1,298,000 (-2.8%)",(-2.8%),"$1,123/sqft",,,
89068796,1298000.0,1/27/2021,Listed for sale,"$1,335,000 (+4.7%)",(+4.7%),"$1,155/sqft",,,
89068796,1298000.0,4/6/2017,Sold,"$1,275,000 (-1.5%)",(-1.5%),"$1,103/sqft",,,
89068796,1298000.0,3/6/2017,Listing removed,"$1,295,000","$1,120/sqft",,,,
89068796,1298000.0,12/21/2016,Pending sale,"$1,295,000","$1,120/sqft",,,,
89068796,1298000.0,9/8/2016,Listed for sale,"$1,295,000 (+141.1%)",(+141.1%),"$1,120/sqft",,,
89068796,1298000.0,3/18/2010,Sold,"$537,220",$465/sqft,,,,
219648378,5495000.0,1/30/2021,Price change,"$5,495,000 (-5.2%)",(-5.2%),"$2,563/sqft",,,
219648378,5495000.0,8/5/2020,Listed for sale,"$5,795,000 (+20%)",(+20%),"$2,703/sqft",,,
219648378,5495000.0,4/22/2016,Sold,"$4,828,000","$2,252/sqft",,,,
72656899,470000.0,3/19/2021,Listed for sale,"$470,000 (+30.6%)",(+30.6%),,,,
72656899,470000.0,1/29/2021,Listing removed,"$2,200",,,,,
72656899,470000.0,1/25/2021,Price change,"$2,200 (-4.3%)",(-4.3%),,,,
72656899,470000.0,4/8/2019,Listing removed,"$2,300",,,,,
2077111739,769000.0,3/9/2021,Price change,"$769,000 (-1.4%)",(-1.4%),$739/sqft,,,
2077111739,769000.0,2/17/2021,Price change,"$780,000 (-2.4%)",(-2.4%),$749/sqft,,,
2077111739,769000.0,11/30/2020,Price change,"$799,000 (-2.8%)",(-2.8%),$768/sqft,,,
