3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3028,23,,A1,408 EAST 179TH STREET,,10457,1,0,1,1842,2048,1901,1,A1,0,2021-01-20 00:00:00
5,2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3028,24,,A1,410 EAST 179TH STREET,,10457,1,0,1,1842,2048,1901,1,A1,600000,2021-01-15 00:00:00
6,2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3029,36,,A5,418 EAST 180 STREET,,10457,1,0,1,1568,1526,1899,1,A5,0,2020-07-09 00:00:00
7,2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,67,,A1,4451 PARK AVENUE,,10457,1,0,1,1646,1495,1899,1,A1,275000,2020-03-16 00:00:00
8,2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,67,,A1,4451 PARK AVENUE,,10457,1,0,1,1646,1495,1899,1,A1,475000,2020-07-23 00:00:00
9,2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,29,,A9,2327 WASHINGTON AVE,,10458,1,0,1,1095,1260,1910,1,A9,165000,2020-03-02 00:00:00
10,2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3045,12,,A1,2052 BATHGATE AVENUE,,10457,1,0,1,2340,1516,1910,1,A1,289000,2020-08-25 00:00:00
11,2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,52,,B3,2047 BATHGATE AVENUE,,10457,2,0,2,2329,1431,1901,1,A1,526000,2020-09-22 00:00:00
12,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,118,,B1,1540 WASHINGTON AVENUE,,10457,2,0,2,2000,2400,1993,1,B1,0,2020-06-24 00:00:00
13,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,130,,B1,482 CLAREMONT PARKWAY,,10457,2,0,2,2000,2400,1993,1,B1,0,2020-03-17 00:00:00
14,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927,131,,B1,1465 CROTONA PLACE,,10456,2,0,2,1900,2394,1994,1,B1,0,2020-08-27 00:00:00
15,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,114,,B1,3854 3 AVENUE,,10457,2,0,2,2883,2394,1995,1,B1,0,2020-04-06 00:00:00
16,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,128,,B1,559 CLAREMONT PARKWAY,,10457,2,0,2,2361,2394,1995,1,B1,0,2020-02-26 00:00:00
17,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3027,26,,B2,414 EAST 178 STREET,,10457,2,0,2,2000,2364,1899,1,B2,734000,2020-04-22 00:00:00
18,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3035,136,,B1,1991 WASHINGTON AVENUE,,10457,2,0,2,2910,3240,1998,1,B1,0,2020-08-24 00:00:00
19,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,32,,B3,455 EAST 180 STREET,,10457,2,0,2,1826,1296,1899,1,B3,455000,2020-07-09 00:00:00
20,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3041,7,,S2,444 CYRUS PLACE,,10458,2,1,3,2467,1900,1910,1,S2,412500,2020-12-09 00:00:00
21,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3046,5,,B1,2024 WASHINGTON AVE,,10457,2,0,2,1907,2901,2000,1,B1,625000,2020-09-03 00:00:00
22,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3047,17,,B3,2123 BATHGATE AVE,,10457,2,0,2,2500,1404,1901,1,B3,629000,2020-04-24 00:00:00
23,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,90,,B2,505 EAST 182 STREET,,10457,2,0,2,1960,2278,1901,1,B2,0,2020-06-26 00:00:00
24,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,4,,B1,507 EAST 183RD STREET,,10458,2,0,2,1380,2805,1901,1,B1,0,2020-10-22 00:00:00
25,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,4,,B1,507 E 183RD STREET,,10458,2,0,2,1380,2805,1901,1,B1,0,2021-01-25 00:00:00
26,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,7,,B2,2306 BASSFORD AVENUE,,10458,2,0,2,2085,3374,1901,1,B2,750000,2020-10-09 00:00:00
27,2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,17,,B2,2301 BATHGATE AVENUE,,10458,2,0,2,1169,1836,1901,1,B2,404586,2020-12-31 00:00:00
