3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6359,70,,S1,8684 15TH AVENUE,,11228,1,1,2,1933,4080,1930,1,S1,1300000,2020-04-28 00:00:00
5,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,48,,A5,14 BAY 10TH STREET,,11228,1,0,1,2513,1428,1930,1,A5,849000,2020-03-18 00:00:00
6,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,56,,A5,30 BAY 10TH STREET,,11228,1,0,1,1547,1428,1930,1,A5,75000,2020-11-30 00:00:00
7,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6362,23,,A9,43 BAY 11TH STREET,,11228,1,0,1,2280,1052,1901,1,A9,0,2020-11-04 00:00:00
8,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,24,,A9,8645 BAY 16TH STREET,,11214,1,0,1,1571,1456,1935,1,A9,830000,2020-06-26 00:00:00
9,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6371,19,,A9,79 BAY 20TH STREET,,11214,1,0,1,2320,1566,1930,1,A9,0,2020-02-21 00:00:00
10,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6371,60,,A9,8620 19TH AVENUE,,11214,1,0,1,2417,2106,1930,1,A9,1188000,2020-07-20 00:00:00
11,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6392,115,,A5,145 BAY 7TH STREET,,11228,1,0,1,1448,1280,1945,1,A5,870000,2020-10-15 00:00:00
12,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,13,,A1,155 BAY 14TH ST,,11214,1,0,1,3680,936,1930,1,A1,1250000,2020-12-23 00:00:00
13,3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6409,40,,A9,106 BAY 25TH STREET,,11214,1,0,1,1740,1382,1915,1,A9,805000,2020-12-02 00:00:00
