3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,4,AIRPORT JFK,39 TRANSPORTATION FACILITIES,4,14260,80,,V7,N/A ROCKAWAY BLVD,,11434,0,0,0,268092,0,,4,T1,4121000,2020-07-16 00:00:00
5,4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,41,,A5,19-62 81ST STREET,,11370,1,0,1,1800,1224,1945,1,A5,584569,2020-08-28 00:00:00
6,4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,12,,A5,21-14 81ST STREET,,11370,1,0,1,1800,1224,1950,1,A5,800000,2021-01-11 00:00:00
7,4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1003,,R2,"19-37 80TH STREET, 1",1,11370,1,,1,,,,2,R2,420000,2020-03-12 00:00:00
8,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,20,,A5,3-20 BEACH 41 STREET,,11691,1,0,1,2469,1476,2005,1,A5,300000,2020-12-16 00:00:00
9,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,27,,A5,336 BEACH 41ST STREET,,11691,1,0,1,2325,1350,2005,1,A5,360000,2020-06-23 00:00:00
10,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15831,27,,A5,344 BEACH 42 STREET,,11691,1,0,1,2470,1332,2006,1,A5,465000,2020-10-07 00:00:00
11,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,51,,A6,337 BEACH 43,,11691,1,0,1,5134,1224,1920,1,A6,235000,2020-10-27 00:00:00
12,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15835,32,,A2,338 BEACH 45 STREET,,11691,1,0,1,2723,1070,1920,1,A2,0,2020-09-24 00:00:00
13,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15835,59,,A2,355 BEACH 44 STREET,,11691,1,0,1,3431,971,1920,1,A2,540000,2020-12-14 00:00:00
14,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15838,45,,A9,345 BEACH 46TH STREET,,11691,1,0,1,3804,926,1920,1,A9,565000,2020-10-28 00:00:00
15,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849,15,,A6,4015 ROCKAWAY BEACH BLVD,,11691,1,0,1,2648,1000,1920,1,A6,0,2020-08-14 00:00:00
16,4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849,22,,A6,40-01 ROCKAWAY BEACH BLVD,,11691,1,0,1,2626,618,1920,1,A6,190000,2020-02-10 00:00:00
