3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,46,,A1,119 LENZIE STREET,,10312,1,0,1,8000,3660,1998,1,A1,315000,2020-10-02 00:00:00
5,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407,6,,A1,118 ELMBANK STREET,,10312,1,0,1,6200,2580,1975,1,A1,450000,2020-06-24 00:00:00
6,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,31,,A1,7 SANDGAP STREET,,10312,1,0,1,2500,1222,1925,1,A2,525000,2020-07-02 00:00:00
7,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,83,,A1,7 SEGUINE PLACE,,10312,1,0,1,3989,2300,2004,1,A1,720000,2020-10-15 00:00:00
8,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,124,,A5,22 MAY PLACE,,10312,1,0,1,2475,2495,1986,1,A5,0,2020-09-17 00:00:00
9,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,145,,A5,60 SEGUINE PLACE,,10312,1,0,1,1471,1172,1986,1,A5,429000,2020-11-19 00:00:00
10,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,16,,A5,15 EAGAN AVENUE,,10312,1,0,1,2550,1825,1986,1,A5,550000,2020-10-22 00:00:00
11,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,52,,A5,70 SEGUINE PLACE,,10312,1,0,1,2700,1320,1986,1,A5,455500,2020-07-15 00:00:00
12,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,46,,A5,44 LUCY LOOP,,10312,1,0,1,2700,1500,2000,1,A5,410670,2020-11-10 00:00:00
13,5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,58,,A5,93 LORRAIN AVENUE,,10312,1,0,1,1650,1548,2005,1,A5,520000,2020-06-22 00:00:00
