price,state,zip_code,area,home_status,latitude,longitude,zestimate,time_on_zillow,rent_zestimate,home_type,bedrooms,bathrooms,days_on_zillow,variable_type,variable_text,living_area,tax
1450.0,NY,10065,None,FOR_RENT,40.763837,-73.962885,407209,1617066120000,1900,MULTI_FAMILY,None,1.0,13,TIME_ON_INFO,13 days ago,None,None
1500.0,NY,10065,500,FOR_RENT,40.76432,-73.962549,408946,1616724000000,None,MULTI_FAMILY,1.0,1.0,17,TIME_ON_INFO,17 days ago,500.0,None
1395.0,NY,10065,None,FOR_RENT,40.76246,-73.959532,None,1615442880000,1850,MULTI_FAMILY,None,1.0,32,TIME_ON_INFO,32 days ago,None,None
1500.0,NY,10065,None,FOR_RENT,40.763721,-73.967587,447383,1614909840000,None,MULTI_FAMILY,None,1.0,38,TIME_ON_INFO,38 days ago,None,None
1450.0,NY,10065,None,FOR_RENT,40.765672,-73.962503,420461,1614231240000,None,MULTI_FAMILY,None,1.0,46,OPEN_HOUSE,Open: Thu. 12:30-5pm,None,None
1450.0,NY,10065,None,FOR_RENT,40.7653,-73.961622,None,1610000220000,None,MULTI_FAMILY,None,1.0,95,OPEN_HOUSE,Open: Thu. 12:30-5pm,None,None
1875.0,NY,10065,None,FOR_RENT,40.766529,-73.959667,None,1618098900000,None,MULTI_FAMILY,None,1.5,1,TIME_ON_INFO,1 day ago,None,None
1695.0,NY,10065,None,FOR_RENT,40.762784,-73.958109,457137,1618090500000,1795,MULTI_FAMILY,None,1.0,1,TIME_ON_INFO,1 day ago,None,None
1875.0,NY,10065,None,FOR_RENT,40.768293,-73.968167,None,1618043760000,None,MULTI_FAMILY,None,1.0,2,TIME_ON_INFO,2 days ago,None,None
1875.0,NY,10065,None,FOR_RENT,40.766085,-73.962378,None,1618037460000,None,MULTI_FAMILY,None,1.0,2,TIME_ON_INFO,2 days ago,None,None
1900.0,NY,10065,455403,FOR_RENT,40.762419,-73.959298,784249,1618034700000,2750,MULTI_FAMILY,None,1.0,2,TIME_ON_INFO,2 days ago,455403.0,97304000.0
1750.0,NY,10065,400,FOR_RENT,40.763719,-73.960655,592048,1618026660000,2150,MULTI_FAMILY,1.0,1.0,2,TIME_ON_INFO,2 days ago,400.0,None
1495.0,NY,10039,None,FOR_RENT,40.822967,-73.939565,339462,1617235440000,1600,MULTI_FAMILY,None,1.0,11,TIME_ON_INFO,11 days ago,None,None
1850.0,NY,10039,750,FOR_RENT,40.823832,-73.938589,412586,1618031640000,1900,MULTI_FAMILY,1.0,1.0,2,TIME_ON_INFO,2 days ago,750.0,None
1650.0,NY,10065,None,FOR_RENT,40.761583,-73.961425,None,1618005960000,None,MULTI_FAMILY,1.0,1.0,2,TIME_ON_INFO,2 days ago,None,None
1650.0,NY,10065,None,FOR_RENT,40.761981,-73.962363,584237,1617918240000,None,MULTI_FAMILY,1.0,1.0,3,TIME_ON_INFO,3 days ago,None,None
1995.0,NY,10065,None,FOR_RENT,40.764476,-73.958651,532105,1617858960000,2500,MULTI_FAMILY,1.0,1.0,4,TIME_ON_INFO,4 days ago,None,None
1800.0,NY,10065,None,FOR_RENT,40.764272,-73.966393,570612,1617762000000,2345,MULTI_FAMILY,1.0,1.0,5,TIME_ON_INFO,5 days ago,None,None
1995.0,NY,10065,None,FOR_RENT,40.764292,-73.960077,None,1617677940000,None,MULTI_FAMILY,1.0,1.0,6,TIME_ON_INFO,6 days ago,None,None
1550.0,NY,10065,None,FOR_RENT,40.760894,-73.961386,411947,1617370440000,1800,MULTI_FAMILY,None,1.0,9,TIME_ON_INFO,9 days ago,None,None
1950.0,NY,10065,None,FOR_RENT,40.763811,-73.966709,551572,1617334200000,2350,MULTI_FAMILY,1.0,1.0,10,TIME_ON_INFO,10 days ago,None,None
1650.0,NY,10065,None,FOR_RENT,40.765427,-73.965533,459652,1617321840000,None,MULTI_FAMILY,None,1.0,10,TIME_ON_INFO,10 days ago,None,None
1650.0,NY,10065,None,FOR_RENT,40.761307,-73.961536,534197,1617317040000,None,MULTI_FAMILY,1.0,1.0,10,TIME_ON_INFO,10 days ago,None,None
1595.0,NY,10065,None,FOR_RENT,40.765467,-73.965504,447383,1617243780000,1885,MULTI_FAMILY,None,1.0,11,TIME_ON_INFO,11 days ago,None,None
1695.0,NY,10065,None,FOR_RENT,40.763837,-73.962885,407209,1617243720000,None,MULTI_FAMILY,None,1.0,11,TIME_ON_INFO,11 days ago,None,None
1950.0,NY,10065,600,FOR_RENT,40.763832,-73.96159,None,1617237600000,2375,MULTI_FAMILY,1.0,1.0,11,TIME_ON_INFO,11 days ago,600.0,None
1792.0,NY,10065,None,FOR_RENT,40.76162,-73.96151,None,1617153000000,None,MULTI_FAMILY,1.0,1.0,12,TIME_ON_INFO,12 days ago,None,None
1650.0,NY,10065,500,FOR_RENT,40.76417,-73.961406,None,1617055560000,None,MULTI_FAMILY,None,1.0,13,TIME_ON_INFO,13 days ago,500.0,None
1750.0,NY,10065,None,FOR_RENT,40.762269,-73.958315,575792,1616714640000,None,MULTI_FAMILY,1.0,1.0,17,TIME_ON_INFO,15 days ago,None,None
1875.0,NY,10065,None,FOR_RENT,40.764095,-73.966547,566255,1616748420000,None,MULTI_FAMILY,1.0,1.0,17,TIME_ON_INFO,17 days ago,None,None
1900.0,NY,10065,None,FOR_RENT,40.76425,-73.967741,456319,1616720640000,None,MULTI_FAMILY,None,1.0,17,TIME_ON_INFO,17 days ago,None,None
1650.0,NY,10065,8710,FOR_RENT,40.761387,-73.961937,None,1616625120000,1900,MULTI_FAMILY,None,1.0,18,TIME_ON_INFO,18 days ago,8710.0,1933000.0
1773.0,NY,10065,None,FOR_RENT,40.762899,-73.963361,371629,1616495880000,2150,MULTI_FAMILY,None,1.0,19,TIME_ON_INFO,19 days ago,None,None
1895.0,NY,10065,None,FOR_RENT,40.76376,-73.95959,661497,1616447280000,2375,MULTI_FAMILY,1.0,1.0,20,TIME_ON_INFO,20 days ago,None,None
1800.0,NY,10065,425,FOR_RENT,40.761462,-73.960292,339899,1616221380000,1995,MULTI_FAMILY,None,1.0,23,TIME_ON_INFO,23 days ago,425.0,None
1650.0,NY,10065,None,FOR_RENT,40.761692,-73.961682,None,1616197800000,2445,MULTI_FAMILY,1.0,1.0,23,TIME_ON_INFO,23 days ago,None,None
1700.0,NY,10065,None,FOR_RENT,40.76313,-73.958093,537168,1616191080000,1950,MULTI_FAMILY,1.0,1.0,23,OPEN_HOUSE,Open: Mon. 10am-6pm,None,None
1750.0,NY,10065,None,FOR_RENT,40.764152,-73.959745,419587,1616025900000,1850,MULTI_FAMILY,None,1.0,25,TIME_ON_INFO,25 days ago,None,None
2295.0,NY,10065,None,FOR_RENT,40.763942,-73.960022,None,1618195800000,None,MULTI_FAMILY,2.0,1.0,0,TIME_ON_INFO,6 hours ago,None,None
2190.0,NY,10065,None,FOR_RENT,40.763506,-73.960934,None,1618090500000,None,MULTI_FAMILY,None,1.0,1,TIME_ON_INFO,1 day ago,None,None
2275.0,NY,10065,None,FOR_RENT,40.764036,-73.95947,812606,1617968940000,None,MULTI_FAMILY,2.0,1.0,2,OPEN_HOUSE,Open: Mon. 6-6:30pm,None,None
2450.0,NY,10065,None,FOR_RENT,40.764452,-73.960113,820482,1617967320000,None,MULTI_FAMILY,2.0,1.0,2,TIME_ON_INFO,2 days ago,None,None
2295.0,NY,10065,None,FOR_RENT,40.761767,-73.962621,None,1617776100000,2200,MULTI_FAMILY,1.0,1.0,5,TIME_ON_INFO,5 days ago,None,None
2150.0,NY,10065,None,FOR_RENT,40.762103,-73.962548,None,1617776100000,2300,MULTI_FAMILY,1.0,1.0,5,TIME_ON_INFO,5 days ago,None,None
2395.0,NY,10065,None,FOR_RENT,40.764645,-73.958973,439540,1617676140000,1829,MULTI_FAMILY,None,1.0,6,TIME_ON_INFO,6 days ago,None,None
2030.0,NY,10065,None,FOR_RENT,40.767327,-73.96804,450298,1617422760000,None,MULTI_FAMILY,None,1.0,9,TIME_ON_INFO,9 days ago,None,None
2030.0,NY,10065,None,FOR_RENT,40.767189,-73.968002,450724,1617422760000,None,MULTI_FAMILY,None,1.0,9,TIME_ON_INFO,9 days ago,None,None
2400.0,NY,10065,None,FOR_RENT,40.763719,-73.960655,790465,1617415320000,2785,MULTI_FAMILY,2.0,1.0,9,TIME_ON_INFO,9 days ago,None,None
2050.0,NY,10065,None,FOR_RENT,40.766083,-73.968973,None,1617342360000,1950,MULTI_FAMILY,None,1.0,10,TIME_ON_INFO,10 days ago,None,None
2470.0,NY,10065,None,FOR_RENT,40.762573,-73.961599,366505,1617334140000,1950,MULTI_FAMILY,None,1.0,10,TIME_ON_INFO,10 days ago,None,None
2500.0,NY,10065,None,FOR_RENT,40.761706,-73.962685,566255,1617228420000,None,MULTI_FAMILY,1.0,1.0,11,TIME_ON_INFO,11 days ago,None,None
2375.0,NY,10065,465,FOR_RENT,40.765116,-73.961069,496721,1617112620000,2210,MULTI_FAMILY,None,1.0,12,TIME_ON_INFO,12 days ago,465.0,151616.0
2250.0,NY,10065,None,FOR_RENT,40.763081,-73.957975,790465,1617106620000,None,MULTI_FAMILY,2.0,1.0,12,TIME_ON_INFO,13 days ago,None,None
2200.0,NY,10065,350,FOR_RENT,40.763183,-73.95744,348310,1617063780000,1850,MULTI_FAMILY,1.0,1.0,13,TIME_ON_INFO,13 days ago,350.0,None
2100.0,NY,10065,None,FOR_RENT,40.766472,-73.965256,448534,1616815140000,None,MULTI_FAMILY,None,1.0,16,TIME_ON_INFO,16 days ago,None,None
2500.0,NY,10065,480,FOR_RENT,40.763921,-73.961138,341904,1616663820000,1933,MULTI_FAMILY,None,1.0,17,TIME_ON_INFO,17 days ago,480.0,None
2195.0,NY,10065,None,FOR_RENT,40.767979,-73.968827,445535,1616640780000,1940,MULTI_FAMILY,None,1.0,18,TIME_ON_INFO,18 days ago,None,None
2350.0,NY,10065,None,FOR_RENT,40.761733,-73.962542,None,1616487840000,2045,MULTI_FAMILY,1.0,1.0,20,TIME_ON_INFO,20 days ago,None,None
2075.0,NY,10065,600,FOR_RENT,40.76313,-73.958093,None,1616195340000,2200,MULTI_FAMILY,2.0,1.0,23,OPEN_HOUSE,Open: Mon. 10am-6pm,600.0,None
2050.0,NY,10065,700,FOR_RENT,40.763031,-73.957856,743023,1616191080000,2450,MULTI_FAMILY,2.0,1.0,23,OPEN_HOUSE,Open: Mon. 10am-6pm,700.0,None
2295.0,NY,10065,None,FOR_RENT,40.764357,-73.958863,805594,1616126100000,None,MULTI_FAMILY,2.0,1.0,24,TIME_ON_INFO,24 days ago,None,None
2223.0,NY,10065,550,FOR_RENT,40.763015,-73.966753,479666,1616040120000,None,MULTI_FAMILY,1.0,1.0,25,TIME_ON_INFO,25 days ago,550.0,None
2075.0,NY,10065,530,FOR_RENT,40.762017,-73.959544,None,1616039940000,2500,MULTI_FAMILY,None,1.0,25,TIME_ON_INFO,25 days ago,530.0,92183000.0
2500.0,NY,10065,400,FOR_RENT,40.765575,-73.966723,386721,1615960500000,2300,MULTI_FAMILY,None,1.0,26,TIME_ON_INFO,26 days ago,400.0,None
2350.0,NY,10065,None,FOR_RENT,40.765353,-73.961749,521204,1615951980000,None,MULTI_FAMILY,1.0,1.0,26,OPEN_HOUSE,Open: Thu. 12:30-5pm,None,None
2400.0,NY,10065,500,FOR_RENT,40.762738,-73.961034,None,1615874460000,2188,MULTI_FAMILY,2.0,1.0,27,TIME_ON_INFO,27 days ago,500.0,None
2500.0,NY,10065,469,FOR_RENT,40.763603,-73.96212,576474,1615688100000,2300,MULTI_FAMILY,None,1.0,29,TIME_ON_INFO,29 days ago,469.0,198953.0
2450.0,NY,10065,500,FOR_RENT,40.763216,-73.963087,None,1615514040000,None,MULTI_FAMILY,None,1.0,31,TIME_ON_INFO,31 days ago,500.0,None
